Target Distance :100, Step Size : 2
668: (x,y) = (25.9904, 31.3563)
669: (x,y) = (24.0679, 31.9075)
670: (x,y) = (23.3511, 33.7747)
671: (x,y) = (25.3435, 33.949)
672: (x,y) = (24.7922, 32.0265)
673: (x,y) = (26.5415, 31.0569)
674: (x,y) = (28.4733, 31.5745)
675: (x,y) = (26.6607, 32.4197)
676: (x,y) = (27.8363, 34.0378)
677: (x,y) = (26.5242, 32.5284)
678: (x,y) = (24.7583, 31.5894)
679: (x,y) = (24.8629, 29.5921)
680: (x,y) = (25.1413, 27.6116)
681: (x,y) = (26.5555, 29.0258)
682: (x,y) = (28.1315, 27.7945)
683: (x,y) = (26.1327, 27.7247)
684: (x,y) = (25.8544, 25.7442)
685: (x,y) = (23.9418, 25.1594)
686: (x,y) = (23.2578, 27.0388)
687: (x,y) = (21.5804, 25.9495)
688: (x,y) = (21.0291, 24.027)
689: (x,y) = (21.5804, 22.1045)
690: (x,y) = (19.6317, 21.6546)
691: (x,y) = (21.6207, 21.8636)
692: (x,y) = (21.516, 23.8609)
693: (x,y) = (19.9188, 25.0645)
694: (x,y) = (19.1053, 26.8916)
695: (x,y) = (18.554, 24.9691)
696: (x,y) = (20.2314, 26.0584)
697: (x,y) = (18.2317, 26.0933)
698: (x,y) = (20.1443, 26.678)
699: (x,y) = (18.2422, 27.2961)
700: (x,y) = (16.6039, 26.1489)
701: (x,y) = (15.3725, 27.7249)
702: (x,y) = (16.9268, 28.9836)
703: (x,y) = (16.2428, 30.863)
704: (x,y) = (18.0087, 29.924)
705: (x,y) = (19.1843, 31.542)
706: (x,y) = (17.7215, 32.906)
707: (x,y) = (19.5191, 33.7828)
708: (x,y) = (17.7065, 34.628)
709: (x,y) = (16.1092, 33.4244)
710: (x,y) = (14.1339, 33.7373)
711: (x,y) = (14.7186, 35.6499)
712: (x,y) = (14.4749, 33.6648)
713: (x,y) = (13.1109, 35.1275)
714: (x,y) = (11.8796, 36.7035)
715: (x,y) = (9.94771, 37.2211)
716: (x,y) = (11.6969, 36.2515)
717: (x,y) = (11.0129, 38.1309)
718: (x,y) = (12.915, 38.7489)
719: (x,y) = (12.6713, 40.734)
720: (x,y) = (14.2893, 41.9096)
721: (x,y) = (14.5331, 43.8947)
722: (x,y) = (16.3457, 43.0495)
723: (x,y) = (15.0601, 44.5815)
724: (x,y) = (14.7817, 46.5621)
725: (x,y) = (14.7817, 48.5621)
726: (x,y) = (16.6088, 49.3756)
727: (x,y) = (15.2967, 50.885)
728: (x,y) = (13.7424, 52.1436)
729: (x,y) = (13.8471, 50.1464)
730: (x,y) = (11.9152, 50.664)
731: (x,y) = (10.6031, 49.1546)
732: (x,y) = (10.7078, 47.1573)
733: (x,y) = (8.88071, 46.3438)
734: (x,y) = (7.16638, 45.3138)
735: (x,y) = (6.32114, 43.5012)
736: (x,y) = (5.03556, 45.0332)
737: (x,y) = (6.99186, 44.6174)
738: (x,y) = (5.39459, 45.821)
739: (x,y) = (5.91223, 43.8892)
740: (x,y) = (4.11464, 43.0125)
741: (x,y) = (5.52885, 41.5982)
742: (x,y) = (7.52855, 41.5633)
743: (x,y) = (6.87741, 43.4544)
744: (x,y) = (8.4095, 42.1688)
745: (x,y) = (7.20587, 43.7661)
746: (x,y) = (5.54779, 44.8845)
747: (x,y) = (3.63518, 45.4692)
748: (x,y) = (2.54591, 43.7919)
749: (x,y) = (4.16394, 44.9674)
750: (x,y) = (3.85107, 42.9921)
751: (x,y) = (2.21277, 44.1392)
752: (x,y) = (1.21277, 45.8713)
753: (x,y) = (0.0943819, 44.2132)
754: (x,y) = (0.268693, 42.2208)
755: (x,y) = (0.268693, 44.2208)
756: (x,y) = (-1.63342, 43.6028)
757: (x,y) = (-3.6088, 43.9156)
758: (x,y) = (-5.09509, 42.5774)
759: (x,y) = (-6.79118, 41.5175)
760: (x,y) = (-5.3525, 40.1282)
761: (x,y) = (-5.73412, 38.165)
762: (x,y) = (-5.42125, 40.1403)
763: (x,y) = (-6.70683, 38.6082)
764: (x,y) = (-7.19067, 40.5488)
765: (x,y) = (-6.44146, 38.6945)
766: (x,y) = (-4.49272, 38.2446)
767: (x,y) = (-5.66829, 36.6265)
768: (x,y) = (-5.32099, 34.6569)
769: (x,y) = (-3.32373, 34.7616)
770: (x,y) = (-1.62764, 35.8214)
771: (x,y) = (0.371145, 35.7516)
772: (x,y) = (-1.59847, 35.4043)
773: (x,y) = (-1.84221, 33.4192)
774: (x,y) = (-2.42695, 35.3318)
775: (x,y) = (-4.159, 36.3318)
776: (x,y) = (-2.42695, 37.3318)
777: (x,y) = (-3.0117, 35.4192)
778: (x,y) = (-1.62238, 33.9806)
779: (x,y) = (-3.1318, 35.2927)
780: (x,y) = (-5.03391, 35.9107)
781: (x,y) = (-4.92924, 37.908)
782: (x,y) = (-4.4454, 35.9674)
783: (x,y) = (-4.02957, 34.0111)
784: (x,y) = (-5.96142, 33.4934)
785: (x,y) = (-5.34339, 35.3956)
786: (x,y) = (-6.22013, 33.598)
787: (x,y) = (-4.56206, 34.7164)
788: (x,y) = (-5.47004, 32.9343)
789: (x,y) = (-3.61567, 32.1851)
790: (x,y) = (-4.42914, 30.358)
791: (x,y) = (-6.30853, 29.674)
792: (x,y) = (-7.36837, 27.9779)
793: (x,y) = (-9.2594, 27.3268)
794: (x,y) = (-8.19957, 25.6307)
795: (x,y) = (-6.29745, 25.0126)
796: (x,y) = (-4.30019, 25.1173)
797: (x,y) = (-6.19123, 25.7684)
798: (x,y) = (-6.12143, 27.7672)
799: (x,y) = (-5.67153, 25.8185)
800: (x,y) = (-7.59405, 26.3698)
801: (x,y) = (-5.61352, 26.0914)
802: (x,y) = (-5.19769, 24.1351)
803: (x,y) = (-3.20865, 23.9261)
804: (x,y) = (-3.72629, 21.9942)
805: (x,y) = (-4.03916, 20.0188)
806: (x,y) = (-2.12655, 20.6036)
807: (x,y) = (-1.60891, 18.6717)
808: (x,y) = (0.173104, 19.5797)
809: (x,y) = (1.92234, 18.6101)
810: (x,y) = (2.79909, 16.8125)
811: (x,y) = (0.823709, 16.4996)
812: (x,y) = (1.88355, 18.1957)
813: (x,y) = (0.374128, 16.8836)
814: (x,y) = (2.28674, 16.2989)
815: (x,y) = (1.70199, 14.3863)
816: (x,y) = (2.48346, 12.5452)
817: (x,y) = (1.11946, 11.0825)
818: (x,y) = (-0.747701, 11.7993)
819: (x,y) = (0.59056, 13.2856)
820: (x,y) = (-1.20703, 12.4088)
821: (x,y) = (-0.963289, 10.4237)
822: (x,y) = (-1.96329, 12.1558)
823: (x,y) = (-1.75423, 14.1448)
824: (x,y) = (0.202063, 13.729)
825: (x,y) = (1.01554, 11.9019)
826: (x,y) = (1.95448, 10.136)
827: (x,y) = (3.92986, 9.82314)
828: (x,y) = (3.7208, 11.8122)
829: (x,y) = (3.30498, 9.85589)
830: (x,y) = (3.47929, 7.8635)
831: (x,y) = (2.14103, 9.34979)
832: (x,y) = (1.48989, 7.45876)
833: (x,y) = (2.20663, 9.32592)
834: (x,y) = (4.20632, 9.29101)
835: (x,y) = (2.54825, 10.4094)
836: (x,y) = (4.2803, 9.4094)
837: (x,y) = (6.20282, 9.96067)
838: (x,y) = (7.32121, 8.3026)
839: (x,y) = (6.00909, 6.79318)
840: (x,y) = (4.4548, 5.53454)
841: (x,y) = (3.4548, 3.80249)
842: (x,y) = (4.51463, 5.49858)
843: (x,y) = (2.8003, 6.52866)
844: (x,y) = (4.58231, 5.62068)
845: (x,y) = (6.09173, 6.9328)
846: (x,y) = (6.23124, 4.93767)
847: (x,y) = (4.74496, 6.27593)
848: (x,y) = (4.71005, 4.27623)
849: (x,y) = (5.88562, 2.6582)
850: (x,y) = (3.90053, 2.41446)
851: (x,y) = (5.84927, 1.96456)
852: (x,y) = (4.38656, 0.600562)
853: (x,y) = (5.59019, -0.996709)
854: (x,y) = (6.24133, 0.894328)
855: (x,y) = (4.54523, -0.165511)
856: (x,y) = (3.60629, -1.93141)
857: (x,y) = (2.63667, -3.68065)
858: (x,y) = (3.15431, -1.74879)
859: (x,y) = (1.42226, -2.74879)
860: (x,y) = (-0.0871626, -1.43668)
861: (x,y) = (1.88245, -1.78397)
862: (x,y) = (0.224378, -2.90236)
863: (x,y) = (1.95643, -1.90236)
864: (x,y) = (2.67316, -3.76952)
865: (x,y) = (0.995823, -4.8588)
866: (x,y) = (-1.00144, -4.75412)
867: (x,y) = (-2.39075, -3.31545)
868: (x,y) = (-2.77237, -1.35219)
869: (x,y) = (-3.80245, 0.362144)
870: (x,y) = (-1.80519, 0.466816)
871: (x,y) = (-0.273099, -0.818759)
872: (x,y) = (-1.47673, -2.41603)
873: (x,y) = (-0.537786, -0.650135)
874: (x,y) = (1.35325, -1.30127)
875: (x,y) = (-0.428762, -2.20925)
876: (x,y) = (1.38385, -3.05449)
877: (x,y) = (0.90001, -4.99508)
878: (x,y) = (2.83186, -5.51272)
879: (x,y) = (1.95512, -7.31031)
880: (x,y) = (0.100752, -8.05952)
881: (x,y) = (-1.87978, -7.78117)
882: (x,y) = (-3.13842, -9.33547)
883: (x,y) = (-2.23044, -11.1175)
884: (x,y) = (-0.249908, -11.3958)
885: (x,y) = (-2.23895, -11.1868)
886: (x,y) = (-0.371791, -10.47)
887: (x,y) = (-0.923066, -8.54751)
888: (x,y) = (0.224087, -6.9092)
889: (x,y) = (-0.0196513, -4.92411)
890: (x,y) = (-2.00019, -5.20246)
891: (x,y) = (-3.93204, -5.7201)
892: (x,y) = (-2.42262, -7.03221)
893: (x,y) = (-0.93633, -5.69395)
894: (x,y) = (-1.18007, -3.70886)
895: (x,y) = (-2.26935, -2.03152)
896: (x,y) = (-2.75319, -3.97211)
897: (x,y) = (-2.61368, -5.96724)
898: (x,y) = (-3.06358, -7.91598)
899: (x,y) = (-4.3757, -9.4254)
900: (x,y) = (-4.48037, -11.4227)
901: (x,y) = (-5.81863, -9.93637)
902: (x,y) = (-4.87969, -8.17047)
903: (x,y) = (-6.43398, -6.91183)
904: (x,y) = (-5.62051, -5.08474)
905: (x,y) = (-4.1578, -3.72074)
906: (x,y) = (-5.68989, -5.00632)
907: (x,y) = (-4.2036, -3.66806)
908: (x,y) = (-6.17898, -3.35519)
909: (x,y) = (-7.99159, -4.20043)
910: (x,y) = (-7.44032, -6.12295)
911: (x,y) = (-8.28555, -7.93557)
912: (x,y) = (-8.96959, -9.81495)
913: (x,y) = (-7.23754, -8.81495)
914: (x,y) = (-9.2348, -8.91962)
915: (x,y) = (-10.0483, -7.09253)
916: (x,y) = (-9.56443, -5.15194)
917: (x,y) = (-9.08059, -3.21135)
918: (x,y) = (-10.6127, -4.49692)
919: (x,y) = (-11.9509, -3.01063)
920: (x,y) = (-10.5367, -1.59642)
921: (x,y) = (-9.19846, -0.110131)
922: (x,y) = (-11.0895, -0.761267)
923: (x,y) = (-9.09711, -0.586956)
924: (x,y) = (-9.09711, 1.41304)
925: (x,y) = (-8.22037, -0.384544)
926: (x,y) = (-6.22037, -0.384544)
927: (x,y) = (-7.79639, -1.61587)
928: (x,y) = (-7.55265, 0.369226)
929: (x,y) = (-8.00255, -1.57951)
930: (x,y) = (-7.93275, 0.419267)
931: (x,y) = (-9.41904, -0.918994)
932: (x,y) = (-9.73191, -2.89437)
933: (x,y) = (-11.464, -1.89437)
934: (x,y) = (-12.6111, -3.53267)
935: (x,y) = (-10.915, -4.59251)
936: (x,y) = (-10.0698, -2.7799)
937: (x,y) = (-10.2441, -0.787508)
938: (x,y) = (-8.27448, -0.440212)
939: (x,y) = (-9.36376, -2.11755)
940: (x,y) = (-11.3488, -1.87381)
941: (x,y) = (-13.3051, -1.45799)
942: (x,y) = (-14.365, 0.238105)
943: (x,y) = (-13.457, 2.02012)
944: (x,y) = (-12.773, 3.8995)
945: (x,y) = (-14.7702, 4.00418)
946: (x,y) = (-16.7675, 4.10885)
947: (x,y) = (-18.4448, 5.19813)
948: (x,y) = (-19.6204, 6.81616)
949: (x,y) = (-19.6553, 4.81646)
950: (x,y) = (-21.4045, 5.78608)
951: (x,y) = (-23.3799, 6.09895)
952: (x,y) = (-25.3553, 5.78608)
953: (x,y) = (-23.3857, 5.43879)
954: (x,y) = (-22.0474, 6.92508)
955: (x,y) = (-21.7345, 4.9497)
956: (x,y) = (-23.5889, 5.69891)
957: (x,y) = (-22.2507, 7.1852)
958: (x,y) = (-20.281, 7.5325)
959: (x,y) = (-21.0625, 9.37351)
960: (x,y) = (-23.0598, 9.47818)
961: (x,y) = (-21.3277, 8.47818)
962: (x,y) = (-19.5006, 7.66471)
963: (x,y) = (-19.119, 9.62796)
964: (x,y) = (-17.1385, 9.34962)
965: (x,y) = (-18.8528, 8.31954)
966: (x,y) = (-17.4888, 9.78225)
967: (x,y) = (-16.3995, 11.4596)
968: (x,y) = (-18.3992, 11.4945)
969: (x,y) = (-17.3099, 13.1718)
970: (x,y) = (-19.2505, 13.6557)
971: (x,y) = (-17.27, 13.3773)
972: (x,y) = (-17.5137, 15.3624)
973: (x,y) = (-19.4048, 16.0136)
974: (x,y) = (-18.2576, 17.6519)
975: (x,y) = (-20.2139, 18.0677)
976: (x,y) = (-18.3595, 17.3185)
977: (x,y) = (-18.8434, 19.2591)
978: (x,y) = (-17.4292, 17.8449)
979: (x,y) = (-15.6021, 17.0314)
980: (x,y) = (-16.4473, 15.2188)
981: (x,y) = (-16.9986, 17.1413)
982: (x,y) = (-18.6947, 18.2011)
983: (x,y) = (-18.1434, 20.1236)
984: (x,y) = (-16.4473, 19.0638)
985: (x,y) = (-15.6981, 20.9182)
986: (x,y) = (-13.713, 20.6744)
987: (x,y) = (-11.7142, 20.6046)
988: (x,y) = (-12.6222, 22.3867)
989: (x,y) = (-13.7694, 20.7483)
990: (x,y) = (-14.5186, 22.6027)
991: (x,y) = (-13.7051, 20.7756)
992: (x,y) = (-15.5177, 19.9304)
993: (x,y) = (-13.9856, 18.6448)
994: (x,y) = (-14.8309, 16.8322)
995: (x,y) = (-16.7435, 16.2475)
996: (x,y) = (-15.2808, 17.6115)
997: (x,y) = (-14.5316, 15.7571)
998: (x,y) = (-15.7352, 17.3544)
999: (x,y) = (-17.2215, 16.0161)
1000: (x,y) = (-18.7309, 14.704)
1001: (x,y) = (-17.9494, 12.863)
1002: (x,y) = (-19.6075, 11.7446)
1003: (x,y) = (-18.0981, 10.4325)
1004: (x,y) = (-18.2376, 12.4276)
1005: (x,y) = (-19.7919, 13.6862)
1006: (x,y) = (-17.7922, 13.6513)
1007: (x,y) = (-16.645, 12.013)
1008: (x,y) = (-17.553, 13.795)
1009: (x,y) = (-16.1637, 12.3564)
1010: (x,y) = (-15.7821, 10.3931)
1011: (x,y) = (-13.7833, 10.4629)
1012: (x,y) = (-13.0341, 8.60853)
1013: (x,y) = (-12.004, 6.8942)
1014: (x,y) = (-11.5202, 8.83479)
1015: (x,y) = (-12.8584, 10.3211)
1016: (x,y) = (-10.8888, 10.6684)
1017: (x,y) = (-9.82899, 8.97228)
1018: (x,y) = (-7.8302, 9.04208)
1019: (x,y) = (-5.83051, 9.00717)
1020: (x,y) = (-7.82777, 9.11185)
1021: (x,y) = (-8.64124, 10.9389)
1022: (x,y) = (-7.85978, 9.09793)
1023: (x,y) = (-8.37742, 7.16607)
1024: (x,y) = (-7.20185, 5.54804)
1025: (x,y) = (-5.94321, 7.10233)
1026: (x,y) = (-4.32517, 5.92676)
1027: (x,y) = (-2.35556, 5.57947)
1028: (x,y) = (-0.442946, 4.99472)
1029: (x,y) = (-0.477851, 6.99442)
1030: (x,y) = (-2.17395, 5.93458)
1031: (x,y) = (-1.72405, 7.88332)
1032: (x,y) = (-2.17395, 5.93458)
1033: (x,y) = (-1.20433, 4.18534)
1034: (x,y) = (-1.27413, 2.18656)
1035: (x,y) = (0.70125, 1.87369)
1036: (x,y) = (1.04855, 3.8433)
1037: (x,y) = (0.943874, 1.84605)
1038: (x,y) = (1.82062, 0.0484578)
1039: (x,y) = (2.50466, 1.92784)
1040: (x,y) = (0.995237, 0.615725)
1041: (x,y) = (0.995237, 2.61572)
1042: (x,y) = (1.61327, 4.51784)
1043: (x,y) = (3.42589, 5.36307)
1044: (x,y) = (5.14022, 6.39315)
1045: (x,y) = (3.42589, 7.42323)
1046: (x,y) = (1.58488, 8.20469)
1047: (x,y) = (3.0943, 9.51681)
1048: (x,y) = (4.69157, 8.31318)
1049: (x,y) = (6.4059, 9.34325)
1050: (x,y) = (6.4757, 7.34447)
1051: (x,y) = (4.94361, 8.63005)
1052: (x,y) = (3.28554, 9.74843)
1053: (x,y) = (3.70136, 11.7047)
1054: (x,y) = (3.59669, 9.70747)
1055: (x,y) = (5.21472, 8.5319)
1056: (x,y) = (3.95608, 10.0862)
1057: (x,y) = (2.72476, 8.51017)
1058: (x,y) = (4.11408, 7.07149)
1059: (x,y) = (6.0366, 6.52021)
1060: (x,y) = (4.10475, 6.00258)
1061: (x,y) = (5.65904, 7.26122)
1062: (x,y) = (6.62866, 9.01046)
1063: (x,y) = (6.55886, 11.0092)
1064: (x,y) = (8.41323, 10.26)
1065: (x,y) = (10.1276, 9.22995)
1066: (x,y) = (11.5662, 7.84063)
1067: (x,y) = (12.2503, 5.96125)
1068: (x,y) = (11.1319, 4.30317)
1069: (x,y) = (10.0135, 5.96125)
1070: (x,y) = (12.0135, 5.96125)
1071: (x,y) = (13.7278, 4.93117)
1072: (x,y) = (12.0698, 3.81278)
1073: (x,y) = (13.2169, 2.17448)
1074: (x,y) = (15.206, 1.96542)
1075: (x,y) = (14.3925, 0.138333)
1076: (x,y) = (16.0506, -0.980053)
1077: (x,y) = (17.8916, -0.198591)
1078: (x,y) = (16.0244, 0.518145)
1079: (x,y) = (16.6756, -1.37289)
1080: (x,y) = (17.8227, 0.265412)
1081: (x,y) = (18.4407, 2.16753)
1082: (x,y) = (19.4708, 0.453191)
1083: (x,y) = (20.0556, 2.3658)
1084: (x,y) = (18.3235, 3.3658)
1085: (x,y) = (16.5743, 2.39618)
1086: (x,y) = (16.5394, 0.396485)
1087: (x,y) = (14.7901, 1.3661)
1088: (x,y) = (16.1541, -0.0966027)
1089: (x,y) = (14.7154, -1.48592)
1090: (x,y) = (13.3012, -0.0717059)
1091: (x,y) = (11.6051, 0.988133)
1092: (x,y) = (10.1909, 2.40235)
1093: (x,y) = (8.27831, 1.8176)
1094: (x,y) = (7.49685, 3.65861)
1095: (x,y) = (6.71538, 5.49962)
1096: (x,y) = (8.29141, 6.73095)
1097: (x,y) = (9.00814, 8.59811)
1098: (x,y) = (9.18245, 6.60572)
1099: (x,y) = (9.35677, 4.61333)
1100: (x,y) = (7.40803, 4.16343)
1101: (x,y) = (5.71193, 5.22326)
1102: (x,y) = (4.83519, 7.02085)
1103: (x,y) = (5.18248, 5.05124)
1104: (x,y) = (5.07781, 7.0485)
1105: (x,y) = (6.99042, 6.46375)
1106: (x,y) = (5.04983, 6.9476)
1107: (x,y) = (5.76657, 5.08043)
1108: (x,y) = (4.70673, 3.38434)
1109: (x,y) = (2.79412, 2.7996)
1110: (x,y) = (1.26203, 1.51402)
1111: (x,y) = (-0.669823, 2.03166)
1112: (x,y) = (-2.22412, 3.2903)
1113: (x,y) = (-4.11515, 3.94144)
1114: (x,y) = (-4.79919, 5.82082)
1115: (x,y) = (-6.7118, 6.40556)
1116: (x,y) = (-4.74219, 6.75286)
1117: (x,y) = (-2.8628, 7.4369)
1118: (x,y) = (-1.47348, 5.99822)
1119: (x,y) = (-3.40534, 5.48058)
1120: (x,y) = (-4.28208, 3.68299)
1121: (x,y) = (-2.70606, 2.45167)
1122: (x,y) = (-0.783534, 1.9004)
1123: (x,y) = (1.1075, 2.55153)
1124: (x,y) = (-0.759658, 3.26827)
1125: (x,y) = (0.954677, 2.23819)
1126: (x,y) = (2.94981, 2.37771)
1127: (x,y) = (3.66654, 4.24487)
1128: (x,y) = (5.24256, 5.47619)
1129: (x,y) = (3.49332, 6.44581)
1130: (x,y) = (1.87529, 5.27024)
1131: (x,y) = (1.42539, 7.21898)
1132: (x,y) = (2.39501, 5.46974)
1133: (x,y) = (4.17702, 4.56176)
1134: (x,y) = (6.01803, 5.34322)
1135: (x,y) = (5.80897, 3.35418)
1136: (x,y) = (7.24765, 1.96486)
1137: (x,y) = (8.21727, 3.7141)
1138: (x,y) = (6.28542, 3.19646)
1139: (x,y) = (7.09889, 5.02355)
1140: (x,y) = (5.78677, 6.53297)
1141: (x,y) = (6.37152, 4.62036)
1142: (x,y) = (5.14019, 3.04434)
1143: (x,y) = (5.20999, 1.04556)
1144: (x,y) = (5.2449, 3.04525)
1145: (x,y) = (7.14701, 2.42722)
1146: (x,y) = (8.37833, 0.851199)
1147: (x,y) = (10.1276, -0.118421)
1148: (x,y) = (12.1264, -0.0486216)
1149: (x,y) = (10.737, 1.39006)
1150: (x,y) = (8.7883, 1.83996)
1151: (x,y) = (7.84936, 3.60586)
1152: (x,y) = (7.6403, 5.5949)
1153: (x,y) = (9.48131, 6.37636)
1154: (x,y) = (8.0186, 7.74036)
1155: (x,y) = (6.81497, 9.33763)
1156: (x,y) = (8.79551, 9.05928)
1157: (x,y) = (10.7442, 9.50918)
1158: (x,y) = (8.83164, 8.92444)
1159: (x,y) = (8.55329, 6.94391)
1160: (x,y) = (6.62144, 7.46154)
1161: (x,y) = (7.82507, 9.05881)
1162: (x,y) = (6.73579, 7.38147)
1163: (x,y) = (8.56288, 6.568)
1164: (x,y) = (8.14706, 4.6117)
1165: (x,y) = (7.83419, 2.63633)
1166: (x,y) = (7.05273, 4.47734)
1167: (x,y) = (7.19224, 6.47247)
1168: (x,y) = (5.25165, 5.98862)
1169: (x,y) = (3.25165, 5.98862)
1170: (x,y) = (1.46964, 6.8966)
1171: (x,y) = (3.10794, 5.74945)
1172: (x,y) = (2.48991, 7.65156)
1173: (x,y) = (4.30252, 8.4968)
1174: (x,y) = (3.61848, 10.3762)
1175: (x,y) = (4.33522, 12.2433)
1176: (x,y) = (3.30514, 10.529)
1177: (x,y) = (4.36498, 12.2251)
1178: (x,y) = (5.89707, 13.5107)
1179: (x,y) = (4.95813, 11.7448)
1180: (x,y) = (5.83487, 13.5424)
1181: (x,y) = (6.21649, 15.5056)
1182: (x,y) = (8.21649, 15.5056)
1183: (x,y) = (6.32545, 16.1568)
1184: (x,y) = (5.90963, 18.1131)
1185: (x,y) = (7.87924, 18.4604)
1186: (x,y) = (5.99986, 19.1444)
1187: (x,y) = (7.65793, 18.026)
1188: (x,y) = (9.49894, 18.8075)
1189: (x,y) = (8.18682, 17.2981)
1190: (x,y) = (7.83953, 19.2677)
1191: (x,y) = (5.85899, 18.9893)
1192: (x,y) = (6.30889, 17.0406)
1193: (x,y) = (8.16326, 16.2914)
1194: (x,y) = (9.76053, 17.495)
1195: (x,y) = (10.9642, 19.0923)
1196: (x,y) = (10.2474, 20.9594)
1197: (x,y) = (8.51537, 21.9594)
1198: (x,y) = (6.98329, 23.245)
1199: (x,y) = (8.13044, 21.6067)
1200: (x,y) = (9.86249, 20.6067)
1201: (x,y) = (10.644, 18.7657)
1202: (x,y) = (10.6789, 16.766)
1203: (x,y) = (11.0947, 18.7223)
1204: (x,y) = (9.12506, 18.375)
1205: (x,y) = (10.9922, 19.0917)
1206: (x,y) = (9.31488, 20.181)
1207: (x,y) = (10.0316, 22.0482)
1208: (x,y) = (11.3437, 20.5388)
1209: (x,y) = (12.3437, 22.2708)
1210: (x,y) = (10.3465, 22.1661)
1211: (x,y) = (12.2783, 22.6838)
1212: (x,y) = (10.7689, 23.9959)
1213: (x,y) = (8.77378, 23.8564)
1214: (x,y) = (10.112, 25.3427)
1215: (x,y) = (9.29857, 27.1698)
1216: (x,y) = (10.112, 28.9968)
1217: (x,y) = (8.36281, 28.0272)
1218: (x,y) = (9.70107, 26.5409)
1219: (x,y) = (9.73597, 28.5406)
1220: (x,y) = (11.0215, 27.0085)
1221: (x,y) = (12.2252, 28.6058)
1222: (x,y) = (10.4931, 29.6058)
1223: (x,y) = (9.2895, 28.0085)
1224: (x,y) = (9.04576, 26.0235)
1225: (x,y) = (7.06066, 25.7797)
1226: (x,y) = (5.1935, 26.4965)
1227: (x,y) = (7.1341, 26.9803)
1228: (x,y) = (5.38486, 26.0107)
1229: (x,y) = (6.35448, 24.2614)
1230: (x,y) = (4.39122, 23.8798)
1231: (x,y) = (2.39153, 23.9147)
1232: (x,y) = (1.90768, 25.8553)
1233: (x,y) = (1.49186, 27.8116)
1234: (x,y) = (0.206283, 29.3437)
1235: (x,y) = (-1.73431, 29.8275)
1236: (x,y) = (0.258081, 29.6532)
1237: (x,y) = (-1.45625, 30.6833)
1238: (x,y) = (-2.60341, 29.045)
1239: (x,y) = (-1.42784, 27.427)
1240: (x,y) = (-1.11497, 29.4023)
1241: (x,y) = (-0.398231, 27.5352)
1242: (x,y) = (-2.33882, 27.0513)
1243: (x,y) = (-2.44349, 29.0486)
1244: (x,y) = (-0.494754, 28.5987)
1245: (x,y) = (-1.4337, 26.8328)
1246: (x,y) = (-3.21571, 25.9248)
1247: (x,y) = (-2.01208, 27.5221)
1248: (x,y) = (-0.41481, 26.3185)
1249: (x,y) = (-2.28197, 27.0352)
1250: (x,y) = (-3.85799, 28.2665)
1251: (x,y) = (-3.71848, 26.2714)
1252: (x,y) = (-3.50942, 28.2604)
1253: (x,y) = (-5.43195, 28.8117)
1254: (x,y) = (-3.54091, 29.4628)
1255: (x,y) = (-5.0952, 28.2042)
1256: (x,y) = (-6.55791, 26.8402)
1257: (x,y) = (-8.55669, 26.91)
1258: (x,y) = (-9.76032, 25.3127)
1259: (x,y) = (-9.14229, 27.2149)
1260: (x,y) = (-7.17903, 26.8332)
1261: (x,y) = (-6.33379, 28.6458)
1262: (x,y) = (-7.45218, 30.3039)
1263: (x,y) = (-7.55685, 32.3012)
1264: (x,y) = (-6.00256, 33.5598)
1265: (x,y) = (-6.55383, 31.6373)
1266: (x,y) = (-6.93545, 29.674)
1267: (x,y) = (-5.29715, 30.8212)
1268: (x,y) = (-5.12284, 28.8288)
1269: (x,y) = (-3.13775, 29.0725)
1270: (x,y) = (-4.81509, 27.9833)
1271: (x,y) = (-6.1272, 26.4739)
1272: (x,y) = (-8.09682, 26.8211)
1273: (x,y) = (-6.73282, 28.2839)
1274: (x,y) = (-5.1568, 27.0525)
1275: (x,y) = (-6.99781, 27.834)
1276: (x,y) = (-8.89992, 28.452)
1277: (x,y) = (-10.8632, 28.8336)
1278: (x,y) = (-12.5952, 27.8336)
1279: (x,y) = (-13.7424, 29.4719)
1280: (x,y) = (-15.6218, 28.7879)
1281: (x,y) = (-17.0604, 27.3986)
1282: (x,y) = (-17.0255, 25.3989)
1283: (x,y) = (-18.8666, 26.1804)
1284: (x,y) = (-17.1173, 27.15)
1285: (x,y) = (-19.0299, 27.7347)
1286: (x,y) = (-17.1074, 28.286)
1287: (x,y) = (-17.7254, 26.3839)
1288: (x,y) = (-15.8344, 25.7327)
1289: (x,y) = (-16.8942, 27.4288)
1290: (x,y) = (-15.2559, 26.2817)
1291: (x,y) = (-17.0969, 25.5002)
1292: (x,y) = (-16.0669, 27.2146)
1293: (x,y) = (-14.5126, 25.9559)
1294: (x,y) = (-16.4689, 26.3717)
1295: (x,y) = (-16.7472, 28.3523)
1296: (x,y) = (-16.6425, 30.3495)
1297: (x,y) = (-15.6425, 28.6175)
1298: (x,y) = (-13.6502, 28.7918)
1299: (x,y) = (-11.6514, 28.8616)
1300: (x,y) = (-10.4477, 27.2643)
1301: (x,y) = (-12.002, 26.0057)
1302: (x,y) = (-13.2607, 24.4514)
1303: (x,y) = (-11.2974, 24.0698)
1304: (x,y) = (-11.4369, 22.0747)
1305: (x,y) = (-13.3857, 21.6247)
1306: (x,y) = (-15.0437, 22.7431)
