Target Distance :100, Step Size : 2
658: (x,y) = (-32.9864, -22.2784)
659: (x,y) = (-32.8818, -20.2812)
660: (x,y) = (-32.5345, -22.2508)
661: (x,y) = (-33.4734, -20.4849)
662: (x,y) = (-34.3814, -22.2669)
663: (x,y) = (-33.5046, -24.0645)
664: (x,y) = (-31.5195, -23.8207)
665: (x,y) = (-33.3739, -24.57)
666: (x,y) = (-33.4088, -22.5703)
667: (x,y) = (-32.8241, -24.4829)
668: (x,y) = (-33.274, -22.5341)
669: (x,y) = (-31.3107, -22.1525)
670: (x,y) = (-33.274, -21.7709)
671: (x,y) = (-32.9267, -23.7405)
672: (x,y) = (-31.3946, -25.0261)
673: (x,y) = (-33.2356, -24.2446)
674: (x,y) = (-31.4536, -23.3366)
675: (x,y) = (-29.7763, -22.2474)
676: (x,y) = (-28.2002, -23.4787)
677: (x,y) = (-27.2613, -25.2446)
678: (x,y) = (-28.2613, -26.9766)
679: (x,y) = (-26.6433, -25.8011)
680: (x,y) = (-28.2193, -27.0324)
681: (x,y) = (-28.9685, -28.8867)
682: (x,y) = (-27.1414, -28.0733)
683: (x,y) = (-25.8558, -29.6054)
684: (x,y) = (-27.2451, -31.044)
685: (x,y) = (-25.2527, -31.2184)
686: (x,y) = (-26.807, -32.477)
687: (x,y) = (-24.8147, -32.6513)
688: (x,y) = (-22.8584, -33.0671)
689: (x,y) = (-22.4767, -31.1039)
690: (x,y) = (-23.1279, -29.2128)
691: (x,y) = (-23.3369, -31.2019)
692: (x,y) = (-22.8531, -33.1425)
693: (x,y) = (-24.0002, -31.5042)
694: (x,y) = (-25.6963, -30.4443)
695: (x,y) = (-25.3835, -32.4197)
696: (x,y) = (-25.3835, -30.4197)
697: (x,y) = (-26.9156, -29.1341)
698: (x,y) = (-27.5003, -27.2215)
699: (x,y) = (-27.0845, -25.2652)
700: (x,y) = (-25.3186, -26.2042)
701: (x,y) = (-26.0678, -28.0585)
702: (x,y) = (-26.4151, -26.0889)
703: (x,y) = (-28.0534, -24.9418)
704: (x,y) = (-30.023, -24.5945)
705: (x,y) = (-30.2321, -26.5835)
706: (x,y) = (-31.7415, -25.2714)
707: (x,y) = (-29.8394, -24.6534)
708: (x,y) = (-31.2781, -26.0427)
709: (x,y) = (-31.7957, -27.9745)
710: (x,y) = (-32.6724, -29.7721)
711: (x,y) = (-31.0341, -28.625)
712: (x,y) = (-31.0341, -30.625)
713: (x,y) = (-31.0341, -32.625)
714: (x,y) = (-29.8305, -34.2222)
715: (x,y) = (-31.3848, -35.4809)
716: (x,y) = (-33.3845, -35.446)
717: (x,y) = (-35.0025, -36.6215)
718: (x,y) = (-36.3665, -38.0843)
719: (x,y) = (-38.1158, -37.1146)
720: (x,y) = (-39.8478, -36.1146)
721: (x,y) = (-37.8846, -35.733)
722: (x,y) = (-37.9892, -33.7358)
723: (x,y) = (-39.4519, -32.3718)
724: (x,y) = (-37.9198, -33.6573)
725: (x,y) = (-38.571, -35.5484)
726: (x,y) = (-40.3981, -34.7349)
727: (x,y) = (-39.368, -33.0206)
728: (x,y) = (-38.9522, -31.0643)
729: (x,y) = (-37.2941, -32.1827)
730: (x,y) = (-36.5126, -34.0237)
731: (x,y) = (-38.0887, -35.255)
732: (x,y) = (-37.0887, -36.987)
733: (x,y) = (-36.119, -35.2378)
734: (x,y) = (-37.058, -33.4719)
735: (x,y) = (-39.0568, -33.5417)
736: (x,y) = (-37.1657, -34.1928)
737: (x,y) = (-35.1903, -34.5057)
738: (x,y) = (-33.5931, -35.7093)
739: (x,y) = (-31.691, -35.0913)
740: (x,y) = (-32.309, -36.9934)
741: (x,y) = (-33.0257, -35.1263)
742: (x,y) = (-33.2695, -33.1412)
743: (x,y) = (-35.1238, -32.392)
744: (x,y) = (-35.054, -34.3907)
745: (x,y) = (-35.8033, -36.2451)
746: (x,y) = (-37.4806, -37.3344)
747: (x,y) = (-35.5896, -36.6832)
748: (x,y) = (-35.3805, -38.6723)
749: (x,y) = (-36.6661, -37.1402)
750: (x,y) = (-34.681, -36.8965)
751: (x,y) = (-34.9247, -34.9114)
752: (x,y) = (-36.314, -36.35)
753: (x,y) = (-38.1684, -37.0993)
754: (x,y) = (-39.7864, -38.2748)
755: (x,y) = (-38.6393, -39.9131)
756: (x,y) = (-40.0033, -38.4504)
757: (x,y) = (-40.1776, -36.458)
758: (x,y) = (-38.1971, -36.7364)
759: (x,y) = (-38.4061, -38.7254)
760: (x,y) = (-40.172, -39.6644)
761: (x,y) = (-40.1371, -37.6647)
762: (x,y) = (-39.4531, -39.5441)
763: (x,y) = (-37.6405, -40.3893)
764: (x,y) = (-37.0557, -38.4767)
765: (x,y) = (-36.8814, -40.4691)
766: (x,y) = (-37.2972, -42.4254)
767: (x,y) = (-39.1644, -41.7086)
768: (x,y) = (-40.9915, -42.5221)
769: (x,y) = (-39.0427, -42.972)
770: (x,y) = (-40.4067, -44.4347)
771: (x,y) = (-42.3473, -44.9186)
772: (x,y) = (-41.6962, -43.0275)
773: (x,y) = (-43.6767, -43.3059)
774: (x,y) = (-45.066, -44.7446)
775: (x,y) = (-47.0633, -44.8492)
776: (x,y) = (-46.6817, -42.886)
777: (x,y) = (-48.2138, -41.6004)
778: (x,y) = (-49.9281, -40.5703)
779: (x,y) = (-48.3521, -39.339)
780: (x,y) = (-46.5395, -40.1842)
781: (x,y) = (-45.6942, -41.9968)
782: (x,y) = (-44.8175, -43.7944)
783: (x,y) = (-42.9765, -44.5759)
784: (x,y) = (-44.6908, -43.5458)
785: (x,y) = (-44.5861, -41.5486)
786: (x,y) = (-43.7094, -43.3461)
787: (x,y) = (-44.5229, -41.5191)
788: (x,y) = (-43.8061, -39.6519)
789: (x,y) = (-44.3238, -37.72)
790: (x,y) = (-45.0405, -35.8529)
791: (x,y) = (-47.0329, -35.6786)
792: (x,y) = (-45.1785, -36.4278)
793: (x,y) = (-47.0806, -37.0458)
794: (x,y) = (-46.7678, -39.0212)
795: (x,y) = (-47.5812, -40.8483)
796: (x,y) = (-45.7269, -40.0991)
797: (x,y) = (-46.7269, -38.367)
798: (x,y) = (-48.6179, -37.7159)
799: (x,y) = (-46.6228, -37.8554)
800: (x,y) = (-44.7818, -37.0739)
801: (x,y) = (-46.0131, -35.4979)
802: (x,y) = (-47.0432, -37.2123)
803: (x,y) = (-47.6279, -39.1249)
804: (x,y) = (-45.6291, -39.1947)
805: (x,y) = (-46.7475, -37.5366)
806: (x,y) = (-46.6429, -35.5393)
807: (x,y) = (-44.6796, -35.9209)
808: (x,y) = (-44.7494, -33.9222)
809: (x,y) = (-43.3601, -35.3608)
810: (x,y) = (-45.3233, -34.9792)
811: (x,y) = (-43.3246, -35.049)
812: (x,y) = (-41.527, -34.1723)
813: (x,y) = (-39.6249, -33.5542)
814: (x,y) = (-39.6598, -35.5539)
815: (x,y) = (-39.2781, -37.5172)
816: (x,y) = (-38.4647, -39.3443)
817: (x,y) = (-36.7154, -38.3747)
818: (x,y) = (-37.9741, -39.929)
819: (x,y) = (-36.5354, -38.5396)
820: (x,y) = (-37.0192, -40.4802)
821: (x,y) = (-35.9594, -38.7841)
822: (x,y) = (-37.5977, -37.637)
823: (x,y) = (-38.5366, -35.8711)
824: (x,y) = (-39.2859, -34.0167)
825: (x,y) = (-41.0351, -34.9863)
826: (x,y) = (-40.826, -36.9754)
827: (x,y) = (-42.7823, -36.5596)
828: (x,y) = (-43.3336, -34.637)
829: (x,y) = (-43.8174, -32.6964)
830: (x,y) = (-45.6968, -33.3805)
831: (x,y) = (-47.6941, -33.4852)
832: (x,y) = (-47.9032, -31.4961)
833: (x,y) = (-46.2851, -32.6717)
834: (x,y) = (-48.0344, -31.7021)
835: (x,y) = (-49.9976, -31.3204)
836: (x,y) = (-50.6487, -29.4294)
837: (x,y) = (-48.6637, -29.6732)
838: (x,y) = (-50.1264, -31.0371)
839: (x,y) = (-52.0174, -31.6883)
840: (x,y) = (-52.3303, -33.6637)
841: (x,y) = (-53.2999, -31.9144)
842: (x,y) = (-55.2996, -31.8795)
843: (x,y) = (-55.0212, -29.899)
844: (x,y) = (-54.4365, -31.8116)
845: (x,y) = (-54.1928, -33.7967)
846: (x,y) = (-56.1851, -33.6224)
847: (x,y) = (-58.1824, -33.727)
848: (x,y) = (-59.6451, -32.363)
849: (x,y) = (-60.9307, -30.831)
850: (x,y) = (-62.6627, -31.831)
851: (x,y) = (-61.2485, -30.4167)
852: (x,y) = (-59.4509, -31.2935)
853: (x,y) = (-61.1653, -30.2634)
854: (x,y) = (-61.3743, -28.2744)
855: (x,y) = (-61.7216, -30.244)
856: (x,y) = (-61.7914, -32.2428)
857: (x,y) = (-62.6682, -30.4452)
858: (x,y) = (-61.9189, -32.2995)
859: (x,y) = (-63.701, -33.2075)
860: (x,y) = (-61.701, -33.2075)
861: (x,y) = (-61.1497, -35.13)
862: (x,y) = (-62.4083, -36.6843)
863: (x,y) = (-60.4193, -36.8934)
864: (x,y) = (-59.2157, -35.2961)
865: (x,y) = (-61.2157, -35.2961)
866: (x,y) = (-62.334, -36.9542)
867: (x,y) = (-60.6567, -38.0435)
868: (x,y) = (-61.6263, -39.7927)
869: (x,y) = (-62.7735, -38.1544)
870: (x,y) = (-64.4315, -37.036)
871: (x,y) = (-64.9828, -38.9586)
872: (x,y) = (-66.8622, -39.6426)
873: (x,y) = (-68.7847, -40.1939)
874: (x,y) = (-70.4621, -41.2831)
875: (x,y) = (-70.497, -43.2828)
876: (x,y) = (-68.5018, -43.4224)
877: (x,y) = (-67.1897, -44.9318)
878: (x,y) = (-68.9556, -45.8707)
879: (x,y) = (-70.0155, -47.5668)
880: (x,y) = (-68.6013, -48.981)
881: (x,y) = (-70.0399, -47.5917)
882: (x,y) = (-71.736, -46.5319)
883: (x,y) = (-69.895, -45.7504)
884: (x,y) = (-68.6914, -47.3477)
885: (x,y) = (-67.6315, -45.6516)
886: (x,y) = (-66.3194, -44.1422)
887: (x,y) = (-66.8033, -42.2016)
888: (x,y) = (-67.2191, -44.1579)
889: (x,y) = (-67.4628, -42.1728)
890: (x,y) = (-69.2755, -41.3275)
891: (x,y) = (-67.8127, -42.6915)
892: (x,y) = (-69.7933, -42.4132)
893: (x,y) = (-69.1752, -40.5111)
894: (x,y) = (-70.9411, -39.5721)
895: (x,y) = (-72.6904, -38.6025)
896: (x,y) = (-72.1727, -40.5344)
897: (x,y) = (-70.7585, -39.1202)
898: (x,y) = (-72.3558, -40.3238)
899: (x,y) = (-73.9531, -41.5274)
900: (x,y) = (-75.3673, -40.1132)
901: (x,y) = (-74.136, -41.6892)
902: (x,y) = (-74.136, -39.6892)
903: (x,y) = (-75.5746, -38.2999)
904: (x,y) = (-74.4854, -36.6226)
905: (x,y) = (-75.2346, -34.7682)
906: (x,y) = (-76.4659, -33.1922)
907: (x,y) = (-75.7167, -31.3378)
908: (x,y) = (-76.7765, -33.0339)
909: (x,y) = (-75.6872, -34.7112)
910: (x,y) = (-77.6796, -34.8856)
911: (x,y) = (-76.9629, -36.7527)
912: (x,y) = (-76.2462, -38.6199)
913: (x,y) = (-78.2158, -38.2726)
914: (x,y) = (-78.7334, -40.2044)
915: (x,y) = (-79.115, -38.2412)
916: (x,y) = (-78.431, -40.1206)
917: (x,y) = (-77.2838, -38.4823)
918: (x,y) = (-75.8211, -37.1183)
919: (x,y) = (-77.2353, -35.704)
920: (x,y) = (-75.6173, -34.5285)
921: (x,y) = (-74.7721, -32.7159)
922: (x,y) = (-74.3563, -34.6722)
923: (x,y) = (-73.018, -36.1584)
924: (x,y) = (-72.334, -34.2791)
925: (x,y) = (-73.4811, -32.6408)
926: (x,y) = (-75.1392, -31.5224)
927: (x,y) = (-73.8805, -33.0767)
928: (x,y) = (-72.2422, -31.9295)
929: (x,y) = (-72.0332, -33.9186)
930: (x,y) = (-71.0636, -35.6678)
931: (x,y) = (-72.0025, -33.9019)
932: (x,y) = (-70.0392, -34.2835)
933: (x,y) = (-71.9798, -34.7674)
934: (x,y) = (-72.4975, -32.8355)
935: (x,y) = (-71.0112, -31.4972)
936: (x,y) = (-72.9675, -31.9131)
937: (x,y) = (-73.7489, -30.0721)
938: (x,y) = (-71.8363, -30.6568)
939: (x,y) = (-72.7443, -32.4388)
940: (x,y) = (-74.6237, -33.1229)
941: (x,y) = (-73.1143, -31.8107)
942: (x,y) = (-74.577, -30.4467)
943: (x,y) = (-74.4027, -32.4391)
944: (x,y) = (-76.3048, -31.8211)
945: (x,y) = (-74.9665, -30.3348)
946: (x,y) = (-76.8891, -30.8861)
947: (x,y) = (-77.6058, -29.0189)
948: (x,y) = (-75.9097, -27.9591)
949: (x,y) = (-76.5277, -29.8612)
950: (x,y) = (-75.4093, -31.5193)
951: (x,y) = (-74.1507, -33.0736)
952: (x,y) = (-72.4734, -31.9843)
953: (x,y) = (-70.498, -31.6714)
954: (x,y) = (-72.2472, -30.7018)
955: (x,y) = (-70.9351, -29.1924)
956: (x,y) = (-72.1664, -27.6164)
957: (x,y) = (-70.2258, -27.1325)
958: (x,y) = (-68.3237, -27.7505)
959: (x,y) = (-69.4421, -29.4086)
960: (x,y) = (-67.4858, -29.8244)
961: (x,y) = (-68.5159, -31.5388)
962: (x,y) = (-69.9301, -32.953)
963: (x,y) = (-68.3121, -34.1286)
964: (x,y) = (-68.6594, -32.1589)
965: (x,y) = (-68.381, -34.1395)
966: (x,y) = (-68.8987, -32.2076)
967: (x,y) = (-69.7439, -34.0202)
968: (x,y) = (-70.3286, -35.9329)
969: (x,y) = (-72.3137, -35.6891)
970: (x,y) = (-74.1809, -34.9724)
971: (x,y) = (-72.415, -34.0334)
972: (x,y) = (-71.415, -32.3014)
973: (x,y) = (-73.3375, -32.8527)
974: (x,y) = (-74.9956, -31.7343)
975: (x,y) = (-76.2812, -33.2664)
976: (x,y) = (-74.5153, -34.2053)
977: (x,y) = (-74.0995, -32.249)
978: (x,y) = (-72.8408, -30.6947)
979: (x,y) = (-73.6543, -28.8676)
980: (x,y) = (-71.9222, -29.8676)
981: (x,y) = (-73.2078, -31.3997)
982: (x,y) = (-74.1468, -29.6338)
983: (x,y) = (-75.4323, -31.1659)
984: (x,y) = (-73.4836, -31.6158)
985: (x,y) = (-72.3364, -29.9775)
986: (x,y) = (-70.4693, -30.6942)
987: (x,y) = (-68.5287, -30.2104)
988: (x,y) = (-67.6834, -32.023)
989: (x,y) = (-68.0651, -33.9863)
990: (x,y) = (-66.3877, -32.897)
991: (x,y) = (-67.6733, -34.4291)
992: (x,y) = (-65.8757, -33.5523)
993: (x,y) = (-64.1984, -34.6416)
994: (x,y) = (-62.7357, -36.0056)
995: (x,y) = (-64.5628, -35.1921)
996: (x,y) = (-66.5579, -35.0526)
997: (x,y) = (-66.074, -36.9932)
998: (x,y) = (-65.39, -35.1138)
999: (x,y) = (-63.4146, -35.4267)
1000: (x,y) = (-61.6654, -34.4571)
1001: (x,y) = (-59.7429, -33.9058)
1002: (x,y) = (-60.2941, -35.8283)
1003: (x,y) = (-58.3535, -35.3445)
1004: (x,y) = (-57.0949, -33.7902)
1005: (x,y) = (-55.5189, -32.5589)
1006: (x,y) = (-56.2356, -34.426)
1007: (x,y) = (-58.2247, -34.217)
1008: (x,y) = (-59.1326, -35.999)
1009: (x,y) = (-60.9736, -35.2175)
1010: (x,y) = (-62.9709, -35.1129)
1011: (x,y) = (-64.9342, -34.7312)
1012: (x,y) = (-64.4503, -32.7907)
1013: (x,y) = (-66.3297, -32.1066)
1014: (x,y) = (-67.2993, -30.3574)
1015: (x,y) = (-65.8606, -28.9681)
1016: (x,y) = (-65.4107, -30.9168)
1017: (x,y) = (-66.5, -29.2395)
1018: (x,y) = (-66.1871, -27.2641)
1019: (x,y) = (-64.6329, -26.0054)
1020: (x,y) = (-65.6629, -24.2911)
1021: (x,y) = (-63.7404, -23.7398)
1022: (x,y) = (-65.7377, -23.6352)
1023: (x,y) = (-66.9413, -22.0379)
1024: (x,y) = (-65.2832, -20.9195)
1025: (x,y) = (-64.7319, -22.842)
1026: (x,y) = (-66.5295, -23.7188)
1027: (x,y) = (-67.8935, -22.2561)
1028: (x,y) = (-67.6498, -24.2411)
1029: (x,y) = (-69.2258, -25.4725)
1030: (x,y) = (-67.7395, -24.1342)
1031: (x,y) = (-66.1852, -22.8756)
1032: (x,y) = (-66.0806, -20.8783)
1033: (x,y) = (-65.8368, -22.8634)
1034: (x,y) = (-64.4728, -21.4007)
1035: (x,y) = (-64.2291, -23.3858)
1036: (x,y) = (-64.4728, -21.4007)
1037: (x,y) = (-64.0229, -23.3494)
1038: (x,y) = (-62.1435, -24.0335)
1039: (x,y) = (-61.2046, -22.2676)
1040: (x,y) = (-62.9189, -21.2375)
1041: (x,y) = (-60.9189, -21.2375)
1042: (x,y) = (-59.0168, -20.6195)
1043: (x,y) = (-57.5541, -21.9835)
1044: (x,y) = (-57.4843, -19.9847)
1045: (x,y) = (-55.7184, -20.9236)
1046: (x,y) = (-57.3567, -19.7765)
1047: (x,y) = (-58.3868, -21.4908)
1048: (x,y) = (-57.7688, -23.3929)
1049: (x,y) = (-57.184, -25.3055)
1050: (x,y) = (-58.6227, -23.9162)
1051: (x,y) = (-57.5334, -25.5936)
1052: (x,y) = (-57.8807, -27.5632)
1053: (x,y) = (-57.6024, -25.5826)
1054: (x,y) = (-56.5131, -23.9053)
1055: (x,y) = (-57.1642, -25.7963)
1056: (x,y) = (-55.1645, -25.7614)
1057: (x,y) = (-53.2158, -26.2113)
1058: (x,y) = (-53.5974, -24.2481)
1059: (x,y) = (-54.2485, -22.357)
1060: (x,y) = (-52.2534, -22.4966)
1061: (x,y) = (-50.3309, -23.0478)
1062: (x,y) = (-49.6142, -21.1807)
1063: (x,y) = (-49.6491, -23.1804)
1064: (x,y) = (-48.073, -21.949)
1065: (x,y) = (-48.1777, -19.9518)
1066: (x,y) = (-49.6404, -18.5878)
1067: (x,y) = (-47.6917, -19.0377)
1068: (x,y) = (-49.5588, -19.7544)
1069: (x,y) = (-48.9408, -21.6565)
1070: (x,y) = (-50.1721, -23.2326)
1071: (x,y) = (-48.3178, -22.4833)
1072: (x,y) = (-46.7205, -23.687)
1073: (x,y) = (-48.6768, -23.2711)
1074: (x,y) = (-47.5012, -21.6531)
1075: (x,y) = (-48.4092, -19.8711)
1076: (x,y) = (-49.5276, -21.5292)
1077: (x,y) = (-50.2768, -19.6748)
1078: (x,y) = (-49.6257, -17.7838)
1079: (x,y) = (-50.4391, -19.6109)
1080: (x,y) = (-50.5786, -17.6157)
1081: (x,y) = (-49.3473, -16.0397)
1082: (x,y) = (-50.7366, -17.4784)
1083: (x,y) = (-50.1854, -19.4009)
1084: (x,y) = (-51.9174, -20.4009)
1085: (x,y) = (-52.4013, -22.3415)
1086: (x,y) = (-52.2966, -20.3442)
1087: (x,y) = (-51.2966, -18.6122)
1088: (x,y) = (-49.5474, -19.5818)
1089: (x,y) = (-51.5036, -19.9976)
1090: (x,y) = (-52.3171, -18.1705)
1091: (x,y) = (-52.9019, -16.2579)
1092: (x,y) = (-54.6339, -15.2579)
1093: (x,y) = (-53.3753, -13.7036)
1094: (x,y) = (-51.378, -13.599)
1095: (x,y) = (-52.378, -11.8669)
1096: (x,y) = (-51.5013, -10.0693)
1097: (x,y) = (-53.45, -10.5192)
1098: (x,y) = (-51.8117, -11.6664)
1099: (x,y) = (-53.4297, -12.842)
1100: (x,y) = (-51.431, -12.9118)
1101: (x,y) = (-49.6489, -12.0038)
1102: (x,y) = (-48.3368, -13.5132)
1103: (x,y) = (-50.3341, -13.6179)
1104: (x,y) = (-48.8247, -12.3058)
1105: (x,y) = (-50.7157, -12.9569)
1106: (x,y) = (-49.3264, -14.3956)
1107: (x,y) = (-48.8088, -16.3274)
1108: (x,y) = (-48.3589, -14.3787)
1109: (x,y) = (-48.3239, -12.379)
1110: (x,y) = (-46.4446, -13.063)
1111: (x,y) = (-47.954, -11.7509)
1112: (x,y) = (-49.6683, -10.7208)
1113: (x,y) = (-47.712, -11.1367)
1114: (x,y) = (-48.5573, -12.9493)
1115: (x,y) = (-49.9959, -14.3386)
1116: (x,y) = (-50.7451, -12.4842)
1117: (x,y) = (-49.7755, -10.735)
1118: (x,y) = (-51.6427, -11.4517)
1119: (x,y) = (-50.9916, -13.3428)
1120: (x,y) = (-52.8326, -12.5613)
1121: (x,y) = (-53.0416, -14.5503)
1122: (x,y) = (-54.8542, -15.3956)
1123: (x,y) = (-56.7086, -14.6464)
1124: (x,y) = (-54.7098, -14.5766)
1125: (x,y) = (-53.0918, -15.7521)
1126: (x,y) = (-53.9053, -17.5792)
1127: (x,y) = (-52.0259, -18.2633)
1128: (x,y) = (-52.0259, -16.2633)
1129: (x,y) = (-50.7946, -14.6872)
1130: (x,y) = (-49.0453, -13.7176)
1131: (x,y) = (-47.331, -12.6875)
1132: (x,y) = (-48.9693, -11.5404)
1133: (x,y) = (-50.8237, -12.2896)
1134: (x,y) = (-50.0102, -10.4625)
1135: (x,y) = (-51.9012, -9.81138)
1136: (x,y) = (-51.0877, -7.98429)
1137: (x,y) = (-49.3218, -7.04534)
1138: (x,y) = (-49.252, -9.04412)
1139: (x,y) = (-50.8904, -7.89697)
1140: (x,y) = (-52.4664, -9.12829)
1141: (x,y) = (-54.3335, -9.84503)
1142: (x,y) = (-52.3445, -10.0541)
1143: (x,y) = (-54.3433, -9.98429)
1144: (x,y) = (-52.4522, -9.33315)
1145: (x,y) = (-52.4871, -7.33346)
1146: (x,y) = (-53.1383, -9.22449)
1147: (x,y) = (-55.0509, -8.63975)
1148: (x,y) = (-54.7725, -10.6203)
1149: (x,y) = (-55.8026, -8.90595)
1150: (x,y) = (-54.599, -10.5032)
1151: (x,y) = (-54.9119, -12.4786)
1152: (x,y) = (-56.7389, -11.6651)
1153: (x,y) = (-58.566, -10.8517)
1154: (x,y) = (-58.2187, -12.8213)
1155: (x,y) = (-57.5676, -10.9302)
1156: (x,y) = (-58.5676, -12.6623)
1157: (x,y) = (-59.7432, -14.2803)
1158: (x,y) = (-61.7185, -14.5932)
1159: (x,y) = (-61.3027, -16.5495)
1160: (x,y) = (-63.3015, -16.6193)
1161: (x,y) = (-61.4105, -15.9681)
1162: (x,y) = (-59.6961, -16.9982)
1163: (x,y) = (-58.7882, -18.7802)
1164: (x,y) = (-58.1041, -20.6596)
1165: (x,y) = (-59.4681, -22.1223)
1166: (x,y) = (-60.3449, -23.9199)
1167: (x,y) = (-61.1263, -25.7609)
1168: (x,y) = (-61.3354, -27.75)
1169: (x,y) = (-63.1764, -28.5314)
1170: (x,y) = (-63.6602, -30.472)
1171: (x,y) = (-63.9731, -28.4966)
1172: (x,y) = (-62.7145, -30.0509)
1173: (x,y) = (-63.3325, -28.1488)
1174: (x,y) = (-65.3322, -28.1139)
1175: (x,y) = (-66.5078, -26.4959)
1176: (x,y) = (-68.1658, -25.3775)
1177: (x,y) = (-66.3838, -26.2855)
1178: (x,y) = (-66.1055, -28.266)
1179: (x,y) = (-67.7027, -29.4696)
1180: (x,y) = (-69.6049, -30.0877)
1181: (x,y) = (-67.8556, -31.0573)
1182: (x,y) = (-69.8507, -31.1968)
1183: (x,y) = (-71.6, -30.2272)
1184: (x,y) = (-72.508, -32.0092)
1185: (x,y) = (-74.4101, -32.6272)
1186: (x,y) = (-76.3122, -32.0092)
1187: (x,y) = (-77.1574, -30.1966)
1188: (x,y) = (-78.9984, -29.4151)
1189: (x,y) = (-77.9984, -31.1472)
1190: (x,y) = (-76.6344, -32.6099)
1191: (x,y) = (-77.8381, -31.0126)
1192: (x,y) = (-77.7683, -29.0138)
1193: (x,y) = (-78.353, -27.1012)
1194: (x,y) = (-79.3226, -28.8505)
1195: (x,y) = (-81.2922, -28.5032)
1196: (x,y) = (-79.954, -27.0169)
1197: (x,y) = (-81.9391, -26.7731)
1198: (x,y) = (-81.8344, -28.7704)
1199: (x,y) = (-81.3845, -30.7191)
1200: (x,y) = (-82.9605, -31.9505)
1201: (x,y) = (-81.9909, -33.6997)
1202: (x,y) = (-80.0346, -33.2839)
1203: (x,y) = (-81.4488, -34.6981)
1204: (x,y) = (-80.7977, -36.5891)
1205: (x,y) = (-82.5469, -37.5587)
1206: (x,y) = (-82.097, -39.5075)
1207: (x,y) = (-84.0724, -39.1946)
1208: (x,y) = (-82.2314, -38.4132)
1209: (x,y) = (-83.9973, -37.4742)
1210: (x,y) = (-84.8425, -39.2868)
1211: (x,y) = (-85.3938, -37.3643)
1212: (x,y) = (-86.808, -35.9501)
1213: (x,y) = (-88.0116, -34.3528)
1214: (x,y) = (-88.5293, -32.421)
1215: (x,y) = (-88.8076, -30.4404)
1216: (x,y) = (-87.7184, -32.1178)
1217: (x,y) = (-87.2684, -30.169)
1218: (x,y) = (-89.2608, -30.3433)
1219: (x,y) = (-90.9929, -31.3433)
1220: (x,y) = (-92.978, -31.5871)
1221: (x,y) = (-94.3162, -30.1008)
1222: (x,y) = (-95.5199, -28.5035)
1223: (x,y) = (-96.8839, -29.9662)
After 1223 steps, the subject  has the following location: 
(x,y) = ( -96.8839, -29.9662)(m, a) = (101.412, -1.87076)
or 
(x,y) = ( -96.8839, -29.9662)(m, a) = (101.412, -1.87076)
Average outward distance per step = 0.0829209
Bye !
